Name,Date,Boat Class,Rank,Average Time,Average WBT%,Piece 1 Time,Piece 1 WBT%,Piece 2 Time,Piece 2 WBT%,Piece 3 Time,Piece 3 WBT%
Gil Dexter,09.25.21,LM1x,1,00:07:44:12,85.42%,00:07:46:49,84.91%,00:07:41:75,85.92%,,
Alexandros Zisimidis,09.25.21,LM1x,2,00:07:45:48,85.12%,00:07:43:77,85.49%,00:07:47:20,84.76%,,
Jack Gallagher,09.25.21,LM1x,3,00:07:52:78,83.58%,00:07:54:05,83.31%,00:07:51:52,83.84%,,
Jackson Gallagher,09.25.21,LM1x,4,00:07:57:41,82.61%,00:07:57:93,82.50%,00:07:56:88,82.72%,,
Aidan Mahaffey,09.25.21,LM1x,5,00:07:59:87,82.10%,00:07:59:77,82.12%,00:07:59:96,82.08%,,
Nate Wirth,09.25.21,LM1x,6,00:08:00:83,81.90%,00:08:01:40,81.79%,00:08:00:27,82.02%,,
CB Roman,09.25.21,LM1x,7,00:08:02:36,81.59%,00:07:58:51,82.38%,00:08:06:22,80.80%,,
Alex Kosarek,09.25.21,LM1x,8,00:08:02:92,81.47%,00:08:03:23,81.41%,00:08:02:61,81.54%,,
Owen Cordaro,09.25.21,LM1x,9,00:08:03:63,81.33%,00:07:59:77,82.12%,00:08:07:50,80.54%,,
Sam Zimbel,09.25.21,LM1x,10,00:08:03:70,81.31%,00:08:04:11,81.23%,00:08:03:29,81.40%,,
Aidan Walkeryee,09.25.21,LM1x,11,00:08:04:73,81.10%,00:08:05:13,81.02%,00:08:04:34,81.18%,,
Reese Gregory,09.25.21,LM1x,12,00:08:08:49,80.34%,00:08:10:44,79.94%,00:08:06:54,80.73%,,
Michael Keane,09.25.21,LM1x,13,00:08:09:03,80.23%,00:08:11:22,79.78%,00:08:06:84,80.67%,,
Curtis Alter,09.25.21,LM1x,14,00:08:10:82,79.87%,00:08:04:43,81.16%,00:08:17:21,78.58%,,
Brendan Burbage,09.25.21,LM1x,15,00:08:13:46,79.33%,00:08:11:68,79.69%,00:08:15:24,78.98%,,
Will West,09.25.21,LM1x,16,00:08:13:49,79.34%,00:08:07:28,80.58%,00:08:19:71,78.09%,,
Rye Walker,09.25.21,LM1x,17,00:08:14:38,79.15%,00:08:13:61,79.30%,00:08:15:14,79.00%,,
Gavin Southerland,09.25.21,LM1x,18,00:08:14:75,79.08%,00:08:10:57,79.92%,00:08:18:93,78.24%,,
Alptug Kaynar,09.25.21,LM1x,19,00:08:16:70,78.69%,00:08:12:52,79.52%,00:08:20:88,77.86%,,
Andrew Kim,09.25.21,LM1x,20,00:08:18:33,78.37%,00:08:21:74,77.69%,00:08:14:91,79.04%,,
Peter Woodville,09.25.21,LM1x,21,00:08:18:89,78.25%,00:08:16:97,78.63%,00:08:20:81,77.87%,,
