uni,Date,Boat Class,Rank,Average Time,Average WBT%,Piece 1 Time,Piece 1 WBT%,Piece 2 Time,Piece 2 WBT%,Piece 3 Time,Piece 3 WBT%
rower1,09.25.21,LM1x,1,00:07:44:12,85.42%,00:07:46:49,84.91%,00:07:41:75,85.92%,,
rower2,09.25.21,LM1x,2,00:07:45:48,85.12%,00:07:43:77,85.49%,00:07:47:20,84.76%,,
rower3,09.25.21,LM1x,3,00:07:52:78,83.58%,00:07:54:05,83.31%,00:07:51:52,83.84%,,
rower4,09.25.21,LM1x,4,00:07:57:41,82.61%,00:07:57:93,82.50%,00:07:56:88,82.72%,,
rower5,09.25.21,LM1x,5,00:07:59:87,82.10%,00:07:59:77,82.12%,00:07:59:96,82.08%,,
rower1,10.09.21,LM1x,1,00:08:01:57,81.75%,00:08:01:33,81.80%,00:08:01:80,81.70%,,
rower2,10.09.21,LM1x,2,00:08:07:01,80.64%,00:08:10:31,79.97%,00:08:03:71,81.31%,,
rower3,10.09.21,LM1x,3,00:08:18:84,78.26%,00:08:18:06,78.42%,00:08:19:62,78.11%,,
rower1,10.16.21,LM2-,1,0:07:01:4,90.44%,00:07:05:02,89.58%,00:07:01:21,90.47%,00:06:57:84,91.28%
rower2,10.16.21,LM2-,1,0:07:01:4,90.44%,00:07:05:02,89.58%,00:07:01:21,90.47%,00:06:57:84,91.28%
rower3,10.16.21,LM2-,2,0:07:10:3,88.35%,00:07:12:87,87.75%,00:07:09:29,88.58%,00:07:08:71,88.71%
rower4,10.16.21,LM2-,2,0:07:10:3,88.35%,00:07:12:87,87.75%,00:07:09:29,88.58%,00:07:08:71,88.71%
