id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4427795,,1,83.03,83.03,55.87,1.062,125.4,3.07,307.12,174.85,953.68,953.68,126,0,651.42,48.4,0.39,1.074,0,0,"1,186,348,525,521,532,541,552,563,576,584,596,608,619,623,626,632,639,641,646,648,651,647,644,646,646,639,635,626,619,603,582,568,546,527,506,485,468,435,409,380,349,311,279,241,209,169,131,95,66,39,17,16,0,8,8,16",1,83.027573149992
,4427795,,2,241.46,162.25,48.31,2.326,132,8.45,538.34,115.35,822.11,1775.78,128,0,575.94,57.2,0.43,0.666,0.576,0,"49,22,51,102,183,252,308,342,352,367,384,406,437,461,480,500,506,515,516,525,530,545,555,564,573,575,573,569,570,562,560,557,546,550,538,522,504,483,457,439,426,401,387,367,343,322,290,261,232,205,178,145,120,86,56,35,17,7,4,7",2,162.24569402116
,4427795,,3,339.85,221.45,36.95,3.893,132,16.44,798.91,101.64,781.59,2557.38,134,0,539.07,61.6,0.47,0.59,1.034,0,"70,46,79,125,195,239,282,314,323,331,342,356,380,399,421,448,468,487,498,502,511,509,513,519,531,530,534,539,537,530,526,520,517,511,501,494,486,465,450,440,416,396,371,349,329,302,287,256,224,199,163,137,111,91,71,51,35,2,15,2",3,221.44595698605
,4427795,,4,354.67,254.75,34.27,5.643,123.2,25.47,902.98,96.96,623.79,3181.16,138,0,457.05,59.4,0.48,0.541,1.21,0,"78,66,118,160,194,235,255,259,266,276,287,301,326,336,365,388,392,414,419,415,425,430,438,447,450,453,457,454,452,443,446,434,427,423,407,396,378,360,341,312,292,268,244,226,204,182,160,131,111,92,73,57,40,24,24,8",4,254.75095013588
,4427795,,5,340.43,271.89,33.13,7.449,121,34.7,922.84,98.12,596.77,3777.93,142,0,441.43,57.2,0.47,0.54,1.271,0,"77,57,85,131,165,198,234,246,252,266,268,289,302,316,341,358,375,387,396,408,411,421,429,432,435,441,436,439,440,432,429,431,414,405,392,382,359,347,330,302,286,264,244,220,206,179,158,130,100,94,72,57,41,11,23",5,271.88623957071
,4427795,,6,325.53,280.83,32.33,9.299,125.4,44.04,934.25,99.33,592.8,4370.74,148,0,440.41,61.6,0.49,0.566,1.29,0,"74,53,83,118,151,188,215,232,245,255,269,281,294,307,323,339,355,379,392,404,412,422,423,426,435,436,434,440,433,433,426,418,415,398,388,379,357,341,338,312,285,275,241,225,205,176,155,126,117,99,78,64,49,25,28,25,0",6,280.82697665752
,4427795,,7,321.87,286.69,32.73,11.102,125.4,53.16,911.77,100.52,596.72,4967.46,152,0,434.81,61.6,0.49,0.569,1.264,0,"73,60,108,133,173,211,226,251,251,262,274,285,301,323,337,355,374,387,397,404,405,408,416,417,427,428,429,434,430,431,433,418,410,404,381,374,353,331,317,297,276,260,244,225,208,192,163,137,119,102,84,64,49,26,17,14,5",7,286.68989775771
,4427795,,8,313.59,290.05,31.2,13.051,125.4,62.65,948.66,101.35,599.48,5566.94,157,0,433.54,59.4,0.47,0.575,1.348,0,"71,70,109,145,173,210,233,248,259,278,286,297,306,317,334,348,364,373,392,398,405,415,421,425,426,432,433,429,428,421,419,412,404,398,389,375,355,342,323,303,286,266,247,220,207,182,160,143,118,100,80,66,55,29,29,18,1",8,290.05244434466
,4427795,,9,306.15,291.84,30.8,15.001,127.6,72.2,954.71,102.02,603.34,6170.28,162,0,436.7,61.6,0.48,0.59,1.358,0,"70,58,80,121,168,194,227,241,251,253,264,281,291,310,324,340,360,368,385,395,398,408,409,421,421,420,432,436,428,436,428,423,424,406,401,390,376,353,335,322,292,277,251,228,209,188,174,155,135,119,96,79,71,48,37,37,7,7",9,291.840725496
,4427795,,10,303.05,292.96,31.19,16.902,125.4,81.58,938.43,102.51,594.78,6765.06,165,0,431.37,61.6,0.49,0.581,1.343,0,"69,59,102,139,176,218,234,248,254,258,269,281,300,321,330,346,358,368,381,395,392,403,407,410,418,421,425,431,430,421,419,413,400,400,392,373,361,344,323,309,290,265,247,226,202,181,162,137,126,115,84,70,48,20,29,37,9",10,292.96144245723
