id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4427995,94753,1,0,63.57,52.5,1.14,132,3.23,323.36,0,925.39,0.93,0,0,613.33,48.4,36.67,1.14,0,1,"2,185,341,480,480,492,506,518,529,541,553,564,570,575,579,586,591,596,601,604,609,613,609,608,597,584,577,564,555,548,533,517,503,491,473,464,452,433,423,403,382,368,344,320,298,273,250,223,194,162,126,79,66,41,4,5,9,10,11,16",1,0
,4427995,94754,2,215.41,129.9,49.15,2.35,132,8.43,519.24,117.56,785.58,1.71,0,0,547.47,55,41.67,0.67,0.55,0.82,"47,0,54,109,194,275,334,374,382,404,422,446,474,498,512,526,520,525,512,517,523,524,544,537,547,541,531,521,514,512,504,507,499,488,475,458,438,419,405,395,380,367,350,328,306,282,251,226,201,177,146,120,103,84,55,38,26,9,18,22",2,107.705
,4427995,94755,3,296.97,189.81,36.18,3.99,121,16.28,785.1,105.63,608.1,2.32,0,0,439.69,55,45.45,0.56,1.1,0.8,"65,62,101,159,211,238,261,286,301,319,339,338,357,377,386,413,417,426,430,433,433,429,433,438,440,435,439,428,432,421,404,402,386,381,382,363,351,341,309,292,275,247,223,188,172,150,125,106,89,78,61,42,45,20,1",3,170.79333333333
,4427995,94756,4,313.4,226.4,30.56,5.95,127.6,25.74,946.07,103.75,646.48,2.97,0,0,457.73,59.4,46.55,0.59,1.38,0.81,"68,30,80,128,169,212,239,268,274,273,298,310,335,356,378,395,417,429,436,445,439,453,449,451,454,446,458,450,454,456,440,430,426,415,404,401,381,371,364,342,326,308,288,266,239,220,194,169,146,116,102,75,58,52,46,17,11,3",4,206.445
,4427995,94757,5,321.15,249.38,29.68,7.96,123.2,35.56,982.37,102.91,608.49,3.57,0,0,428.84,59.4,48.21,0.57,1.46,0.8,"68,38,95,148,182,220,255,268,285,291,302,330,342,369,388,400,416,411,420,417,419,422,422,425,422,421,429,420,421,416,404,404,395,387,386,369,359,343,327,307,287,264,245,224,193,180,151,129,109,92,80,54,46,48,26,0",5,229.386
,4427995,94758,6,317.44,263.03,30.17,9.94,123.2,45.19,962.43,103.31,590.35,4.16,0,0,424.22,59.4,48.21,0.57,1.42,0.81,"69,26,77,105,153,207,229,262,284,274,286,300,318,345,359,389,397,409,419,415,418,418,415,414,415,416,424,421,421,410,395,397,392,389,377,358,348,335,322,300,283,260,242,212,194,175,150,125,102,88,74,52,40,46,21,1",6,244.06166666667
,4427995,94759,7,311.06,271.6,29.32,11.98,123.2,55.02,983.62,104.01,605.01,4.77,0,0,435.76,39.6,32.14,0.57,1.47,0.8,"66,43,99,128,176,220,246,274,289,285,312,330,360,382,397,415,419,436,432,433,435,429,431,426,426,427,428,420,416,402,395,397,387,383,370,360,353,338,322,303,278,266,235,208,189,159,140,112,101,82,68,42,51,29,17,4",7,253.63285714286
,4427995,94760,8,307.85,277.5,29.57,13.99,123.2,64.74,972.01,104.37,591.63,5.36,0,0,431.83,46.2,37.5,0.57,1.46,0.8,"67,24,77,105,158,210,239,268,288,285,301,326,343,368,387,402,416,430,431,429,432,428,425,416,411,414,413,409,410,398,388,391,383,372,366,351,331,324,305,286,275,247,229,206,184,166,147,120,100,84,73,56,48,40,26,2",8,260.41
,4427995,94761,9,310.03,281.99,30.27,15.96,125.4,74.26,951.77,104.13,627.23,5.99,0,0,449.26,44,35.09,0.58,1.4,0.8,"66,27,80,118,173,217,254,284,294,312,319,336,361,377,396,420,430,439,446,449,446,444,444,440,439,436,421,420,411,411,404,399,403,385,379,377,363,353,337,315,295,283,263,236,220,190,167,145,119,108,88,62,45,54,25,11,19",9,265.92333333333
,4427995,94762,10,316.7,286.71,30.08,17.93,125.4,83.91,964.71,103.39,616.39,6.6,0,0,458.2,46.2,36.84,0.58,1.42,0.8,"68,18,71,106,164,199,231,268,286,305,320,337,358,380,397,421,432,447,454,455,458,452,452,443,443,437,427,423,413,414,403,393,387,381,371,367,363,339,331,303,288,273,252,222,194,171,154,129,109,97,74,60,39,42,31,5,8",10,271.001
