id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4452895,187885,1,0,50.01,49.99,1.2,127.6,3.14,313.93,0,675.7,0.68,0,0,462.57,39.6,31.03,1.2,0,1,"2,243,460,458,448,441,439,436,434,432,433,436,442,447,452,457,462,463,462,462,460,450,439,430,427,423,414,399,382,364,348,334,319,298,284,266,250,237,218,204,192,179,167,155,146,131,117,103,89,74,53,37,36,15,9,15,2,8",1,0
,4452895,187886,2,145.56,99.19,40.37,2.64,138.6,8.69,554.75,133.97,808.91,1.48,0,0,553.41,48.4,34.92,0.78,0.71,0.82,"33,12,52,165,274,375,434,436,433,445,466,479,493,500,504,509,514,525,537,544,551,553,553,544,540,532,529,525,519,514,503,490,475,462,445,434,421,399,388,366,346,331,312,290,268,246,227,209,189,171,156,139,125,116,102,84,73,53,39,22,20,4,7",2,72.78
,4452895,187887,3,271.47,146.84,42.41,4.06,134.2,15.19,649.89,108.84,625.69,2.11,0,0,412.17,35.2,26.23,0.64,0.78,0.81,"62,30,91,182,251,315,359,350,342,348,360,372,388,396,397,412,411,410,405,400,396,395,403,402,404,405,404,394,388,380,364,361,351,343,334,318,304,291,279,271,257,241,225,213,196,178,158,143,133,117,110,105,92,89,76,58,60,42,29,24,21",3,139.01
,4452895,187888,4,305.93,188.14,34.01,5.81,129.8,23.62,843.45,104.59,527.9,2.64,0,0,345.49,57.2,44.07,0.61,1.16,0.8,"68,40,103,156,204,245,263,267,267,272,280,286,289,302,307,320,331,335,337,334,338,335,343,342,342,345,338,341,329,330,319,307,308,296,291,281,273,265,254,245,226,212,200,186,173,161,151,135,122,107,91,89,73,65,57,44,37,24,29",4,180.74
,4452895,187889,5,304.51,214.79,32.27,7.65,132,32.5,887.61,104.75,590.43,3.23,0,0,396.24,52.8,40,0.61,1.25,0.81,"67,50,115,177,228,264,272,278,287,299,324,324,333,343,347,364,370,373,378,373,373,382,383,396,395,393,389,375,375,360,352,348,334,333,318,306,300,290,276,268,251,229,219,207,189,181,171,155,145,134,118,110,102,83,78,64,42,42,34,24",5,205.494
,4452895,187890,6,314.52,232.78,33.16,9.45,127.6,41.23,873,103.63,541.77,3.77,0,0,383.41,48.4,37.93,0.59,1.22,0.8,"69,39,81,126,198,223,261,276,281,293,307,320,325,341,349,361,374,377,382,382,379,383,377,375,377,368,362,352,344,333,323,317,299,289,276,260,251,240,228,221,207,197,184,172,161,146,135,125,112,101,98,85,88,74,64,55,45,39",6,223.665
,4452895,187891,7,301.89,244.22,29.84,11.45,134.2,50.8,956.98,105.05,540.15,4.31,0,0,340.63,41.8,31.15,0.63,1.38,0.8,"66,66,115,173,212,246,262,268,274,278,290,293,296,312,316,329,339,331,341,336,330,338,331,335,336,333,330,327,319,315,311,300,298,289,281,269,261,251,238,234,218,212,205,193,182,172,160,150,138,117,115,107,100,92,79,74,56,49,44,41,26",7,234.84
,4452895,187892,8,291.74,251.4,30.66,13.4,132,60,920.71,106.26,558.01,4.87,0,0,374.24,55,41.67,0.62,1.33,0.8,"65,63,122,187,234,268,281,281,278,286,302,314,327,342,350,358,363,364,363,363,364,369,373,374,374,366,361,354,347,342,331,328,317,303,291,274,266,248,235,224,207,193,186,169,160,152,142,133,115,112,100,95,90,74,74,66,56,49,46,36",8,241.9525
,4452895,187893,9,291.85,257.39,31.54,15.28,127.6,68.96,895.25,106.24,523.71,5.39,0,0,351.96,37.4,29.31,0.6,1.3,0.8,"65,43,97,145,198,224,240,257,260,276,288,293,308,317,332,342,352,349,347,347,341,347,351,351,351,351,346,346,341,335,323,321,313,304,292,278,260,245,234,218,205,191,179,167,158,145,128,126,103,96,91,78,71,63,56,45,48,35",9,247.49666666667
,4452895,187894,10,288.88,260.7,31.79,17.17,127.6,77.81,885.16,106.61,527.71,5.92,0,0,360.73,48.4,37.93,0.61,1.28,0.8,"65,45,98,148,200,236,249,251,258,269,284,301,310,330,340,348,358,351,355,358,352,361,357,351,359,351,352,348,336,328,318,314,305,296,284,267,253,237,226,213,204,193,179,169,160,148,141,131,113,101,94,84,76,69,56,51,51,43",10,251.635
