id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4453265,252932,1,0,77.67,49.64,1.21,143,3.66,365.98,0,1006.47,1.01,0,0,588.14,74.8,52.31,1.21,0,1,"2,209,386,420,434,448,461,475,486,498,509,521,530,536,544,552,558,564,564,570,572,575,579,581,582,585,582,587,586,583,583,585,587,588,581,575,561,545,525,504,481,458,431,404,375,348,324,298,278,259,236,213,183,152,127,105,87,75,56,32,30,9,5,5,7",1,0
,4453265,252933,2,224.99,141.81,51.88,2.34,107.8,8.65,499.05,115.87,663.5,1.67,0,0,577.54,50.6,46.94,0.55,0.61,0.84,"51,8,55,152,255,343,405,442,453,474,497,519,533,540,539,523,522,523,532,548,559,570,578,573,576,571,564,561,557,540,512,472,428,379,337,296,262,237,208,175,141,102,81,56,37,35,10,1,17",2,112.495
,4453265,252934,3,331.9,181.53,77.83,3.1,79.2,12.44,378.72,101.79,422.92,2.09,0,0,569.87,30.8,38.89,0.36,0.41,0.83,"76,39,101,194,298,371,427,444,449,478,503,542,559,570,567,558,556,536,520,489,446,414,373,330,292,247,198,151,115,79,46,34,7,12,4,4",3,185.63
,4453265,252935,4,389.28,223.29,62.33,4.05,99,17.42,498.64,96.52,600.92,2.69,0,0,556.99,50.6,51.11,0.42,0.54,0.83,"83,40,99,191,296,372,419,443,450,446,465,472,491,520,531,542,543,540,543,549,552,549,557,544,549,544,526,511,468,433,387,349,307,264,227,193,170,135,101,83,66,45,52,28,4",4,236.5425
,4453265,252936,5,406.43,269.93,35.93,5.71,125.4,26.2,877.62,95.14,641.19,3.34,0,0,497.07,79.2,63.16,0.54,1.13,0.83,"83,52,97,123,146,162,176,179,189,208,218,243,254,276,302,322,339,355,361,369,383,390,407,420,425,441,447,452,458,458,464,470,478,485,485,497,491,484,481,463,439,407,363,322,280,240,206,176,145,118,90,62,49,38,35,32,4",5,270.52
,4453265,252937,6,350.27,293.43,24.88,8.11,123.2,38.26,1205.93,99.97,634.67,3.97,0,0,523.17,77,62.5,0.57,1.84,0.83,"70,67,102,116,138,150,165,175,194,213,225,247,268,285,305,319,331,342,352,363,384,393,409,419,427,440,447,453,458,470,479,489,502,515,523,521,522,498,483,454,417,390,340,308,263,221,193,158,117,79,55,43,23,35,29,0",6,283.81166666667
,4453265,252938,7,315.73,299.84,27.62,10.27,118.8,48.76,1049.6,103.49,564.84,4.53,0,0,490.31,77,64.81,0.57,1.61,0.84,"68,58,90,116,125,133,146,160,170,185,198,214,231,251,269,287,303,314,330,338,353,367,380,397,411,425,434,449,456,468,473,483,489,490,490,486,471,448,421,380,342,301,256,223,186,150,121,78,49,35,6,12,17,9",7,288.37142857143
,4453265,252939,8,296.45,299.47,28.61,12.36,118.8,58.68,991.96,105.69,561.48,5.1,0,0,487.88,74.8,62.96,0.58,1.52,0.84,"66,44,80,106,127,140,151,155,168,180,199,217,236,255,267,283,293,308,322,339,359,370,386,396,403,421,424,436,449,453,468,472,484,488,485,486,475,463,445,402,362,316,267,231,186,138,100,66,46,13,0,5,10,13",8,289.38125
,4453265,252940,9,282.6,297.64,27.45,14.53,116.6,68.85,1017.84,107.39,559.56,5.66,0,0,486.15,74.8,64.15,0.57,1.61,0.84,"63,50,75,108,128,144,158,170,178,188,205,225,248,271,293,308,321,332,336,351,361,373,388,403,415,423,436,443,452,464,466,476,482,486,483,478,463,442,411,373,332,284,239,199,155,118,82,50,37,23,2,6,3",9,288.62777777778
,4453265,252941,10,276.11,295.96,27.98,16.66,118.8,78.76,990.83,108.22,570.24,6.23,0,0,503.12,74.8,62.96,0.58,1.56,0.84,"62,59,90,112,137,149,166,175,182,197,209,232,252,274,289,302,311,321,330,345,360,373,386,397,411,423,436,447,459,470,483,494,498,503,495,478,459,434,393,360,318,280,243,207,177,138,101,74,42,30,30,23,30,20",10,287.376
