id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4645685,400360,1,0,72.8,51.57,1.16,140.8,3.45,344.53,0,1008.59,1.01,0,0,616.01,50.6,35.94,1.16,0,1,"2,235,446,469,478,491,505,517,526,534,542,550,556,563,573,578,585,593,598,605,606,611,616,613,615,611,608,609,600,596,592,575,567,558,543,532,511,492,472,447,425,403,383,364,345,326,305,283,258,233,210,186,161,139,115,91,72,45,23,17,12,7,10,2",1,0
,4645685,400361,2,228.66,154.22,38.64,2.68,145.2,10.18,673.63,115.25,870.3,1.88,0,0,569.67,66,45.45,0.73,0.82,0.87,"50,29,69,116,171,208,253,279,300,325,346,371,395,416,439,455,474,487,500,513,529,534,543,551,554,562,560,567,567,570,561,557,550,536,535,519,510,496,476,468,451,434,415,392,375,350,334,310,297,285,266,255,231,209,182,164,146,131,111,93,87,64,36,25,7,7",2,114.33
,4645685,400362,3,349.03,217.84,36.95,4.28,138.6,18.29,811.11,100.09,827.97,2.71,0,0,554.3,59.4,42.86,0.61,1.01,0.86,"73,57,93,152,190,242,273,303,318,336,360,378,399,423,443,463,481,496,509,521,528,533,540,545,550,550,554,551,547,548,535,527,524,506,498,481,464,451,438,424,409,391,372,349,316,305,281,262,260,244,232,216,196,166,153,129,99,86,69,58,52,32,25",3,192.56333333333
,4645685,400363,4,424.56,265.5,36.35,5.94,138.6,27.1,880.29,93.77,784.7,3.49,0,0,510.11,57.2,41.27,0.58,1.07,0.85,"84,69,122,169,205,254,280,299,317,329,352,369,393,407,432,451,464,473,485,495,500,507,503,507,506,510,505,506,507,501,495,488,478,471,463,448,435,419,406,385,370,355,336,317,300,284,270,253,243,225,203,189,160,152,138,123,104,89,82,59,44,30,11",4,250.5625
,4645685,400364,5,433.78,302.28,32.86,7.75,134.2,36.9,980.66,93.1,728.58,4.22,0,0,496.43,55,40.98,0.57,1.26,0.85,"85,47,90,142,178,222,253,282,294,308,332,340,372,383,400,417,430,451,457,469,478,490,491,495,496,495,495,490,487,484,471,464,460,452,447,432,413,400,376,359,341,322,310,283,267,243,226,212,202,195,181,167,135,128,110,88,77,66,66,55,34",5,287.206
,4645685,400365,6,419.65,322.66,31.03,9.69,136.4,47.17,1027.11,94.13,782.46,5,0,0,524.69,57.2,41.94,0.58,1.35,0.85,"82,57,97,157,196,238,270,298,314,328,349,367,383,406,423,436,464,476,485,500,505,510,518,512,517,525,515,520,512,510,505,503,493,484,477,453,444,429,410,400,379,365,354,324,309,285,262,241,224,214,196,179,154,143,125,107,92,74,70,63,38,23",6,309.28
,4645685,400366,7,420.72,339.37,31.16,11.6,136.4,57.41,1023.81,94.05,757.13,5.76,0,0,505.46,55,40.32,0.58,1.34,0.86,"83,58,92,149,184,223,259,292,310,328,343,358,378,391,413,425,445,464,473,490,492,502,504,498,505,504,500,498,499,494,492,480,479,473,459,448,427,418,402,379,372,351,333,307,284,272,252,242,222,201,191,163,146,128,121,110,85,75,57,36,14,22",7,325.2
,4645685,400367,8,415.26,352.39,30.95,13.5,136.4,67.67,1026.16,94.46,760.24,6.52,0,0,520.09,57.2,41.94,0.59,1.35,0.86,"82,55,92,138,180,217,252,284,301,317,338,352,372,392,406,426,441,454,473,485,495,508,510,510,515,520,514,516,515,507,508,491,488,482,463,449,438,420,404,385,358,347,325,300,285,265,246,233,226,210,200,175,148,137,123,105,84,67,60,42,28,25",8,336.4575
,4645685,400368,9,407.28,358.01,30.35,15.5,136.4,78.07,1039.83,95.07,759.21,7.28,0,0,512.5,59.4,43.55,0.59,1.39,0.86,"80,66,119,156,190,230,259,273,295,308,326,352,367,391,412,424,442,458,469,479,491,496,501,511,511,508,513,512,508,512,508,494,482,473,457,443,429,417,399,379,366,342,325,303,281,258,242,230,216,214,200,180,163,142,118,100,83,69,69,48,38,28",9,344.32666666667
,4645685,400369,10,401.45,364.83,30.23,17.45,136.4,88.46,1038.86,95.53,761.83,8.04,0,0,512.98,57.2,41.94,0.59,1.39,0.86,"80,70,112,157,186,222,256,268,289,305,325,347,367,389,409,431,448,457,471,476,488,493,500,505,511,513,513,512,505,507,497,494,483,471,458,445,431,414,405,386,370,349,332,311,289,274,255,242,226,216,196,183,163,139,128,104,94,83,66,52,32,25",10,350.039
