id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4637395,184619,1,0,36.48,46.7,1.28,129.8,3.02,302.14,0,877.8,0.88,0,0,660.26,37.4,28.81,1.28,0,1,"1,1,65,136,248,486,542,551,564,575,589,602,617,626,639,650,660,659,658,656,650,639,626,613,603,587,570,556,539,522,507,491,474,452,434,420,405,389,373,356,342,325,309,285,262,238,214,196,173,143,104,68,39,6,5,9,8,10,2",1,0
,4637395,184620,2,198.59,95.63,47.79,2.53,127.6,8.22,519.69,120.79,690.3,1.57,0,0,543,55,43.1,0.68,0.58,0.86,"46,14,62,116,191,246,286,307,323,339,366,392,419,444,458,467,474,476,483,497,510,526,532,539,543,530,525,517,498,493,480,460,453,423,396,378,356,336,322,308,293,276,260,241,230,209,181,157,132,115,90,63,47,28,5,7,3,7",2,99.295
,4637395,184621,3,298.49,151.54,43.92,3.88,127.6,14.7,647.71,105.45,653.68,2.22,0,0,495.18,52.8,41.38,0.6,0.77,0.86,"68,56,78,135,189,221,250,257,278,289,311,338,360,387,418,437,451,470,473,471,486,484,487,495,489,486,490,482,464,452,439,416,397,382,363,349,339,322,314,298,289,275,258,248,231,207,194,167,154,137,107,96,66,27,33,19,11,5",3,165.69333333333
,4637395,184622,4,364,199.79,41.38,5.31,121,22.04,734.55,98.7,663.07,2.88,0,0,515.15,44,36.36,0.54,0.91,0.86,"78,47,83,153,204,251,286,311,322,342,361,384,406,433,455,471,495,501,511,515,514,510,503,506,508,500,502,493,486,473,445,427,405,377,359,350,341,322,308,292,278,257,243,221,200,178,150,121,96,80,51,45,16,3,16",4,215.27
,4637395,184623,5,395.41,236.94,38.29,6.88,116.6,30.2,815.99,96.02,616.47,3.5,0,0,510.7,41.8,35.85,0.51,1.06,0.86,"82,74,124,194,227,271,299,304,322,341,358,382,417,434,457,480,485,498,510,511,498,497,488,484,479,469,455,443,424,405,391,370,352,336,320,307,296,282,267,256,228,216,197,178,149,123,97,71,45,23,23,0,7",5,251.298
,4637395,184624,6,393.2,264.55,35.7,8.55,116.6,38.94,873.66,96.19,624.59,4.13,0,0,513.6,44,37.74,0.51,1.17,0.87,"81,59,98,159,222,256,292,311,303,334,359,379,408,434,452,473,494,502,508,514,509,509,501,495,491,479,471,460,443,428,409,386,366,350,332,316,302,288,274,260,245,224,208,187,161,129,97,78,59,30,33,14,5",6,274.94833333333
,4637395,184625,7,384.84,284.6,34.03,10.29,118.8,48.04,909.85,96.89,602.52,4.73,0,0,505.78,41.8,35.19,0.53,1.24,0.86,"79,77,115,189,240,272,295,312,321,339,358,379,408,438,463,482,504,505,506,499,482,471,465,453,440,435,415,406,397,378,367,356,327,318,306,296,285,266,255,232,212,194,182,164,149,137,112,103,82,51,38,8,10,7",7,290.64714285714
,4637395,184626,8,373.48,296.7,34.54,12.03,121,56.91,887.67,97.86,647.46,5.38,0,0,521.65,44,36.36,0.54,1.2,0.86,"78,64,95,171,207,243,271,283,294,323,353,374,411,436,458,479,498,511,518,522,521,520,521,516,516,511,497,488,464,445,424,403,378,364,340,331,315,302,298,272,258,243,219,210,183,155,133,108,89,54,42,29,5,17,1",8,301.00125
,4637395,184627,9,378,307.74,33.84,13.78,121,66.01,909.44,97.47,651.36,6.03,0,0,529.4,46.2,38.18,0.54,1.24,0.87,"79,54,81,141,200,236,275,298,309,334,356,380,410,433,461,482,504,515,519,523,529,518,509,517,507,496,495,475,462,445,416,401,381,358,346,337,316,306,295,272,265,241,223,205,190,178,147,125,103,81,52,49,18,1,9",9,309.55666666667
,4637395,184628,10,385.39,316.25,35.39,15.47,118.8,74.76,875.32,96.84,620.09,6.65,0,0,507.82,46.2,38.89,0.53,1.17,0.87,"80,48,86,132,192,227,272,292,303,321,341,362,386,413,427,454,472,486,499,502,508,506,506,501,498,495,472,470,451,422,409,388,365,356,338,317,298,294,268,260,249,228,216,192,183,152,121,99,74,45,26,23,5,1",10,317.14
