id,workout_interval_id,ref,stroke_number,power,avg_power,stroke_rate,time,stroke_length,distance,distance_per_stroke,estimated_500m_time,energy_per_stroke,energy_sum,pulse,work_per_pulse,peak_force,peak_force_pos,rel_peak_force_pos,drive_time,recover_time,k,curve_data,stroke_number_in_interval,avg_calculated_power
,4640555,,1,63.55,63.55,56.07,1.085,116.6,2.86,286.46,186.77,775.94,775.94,0,0,588.5,48.4,0.42,1.07,0,0,"1,193,360,502,504,509,510,510,508,511,514,520,523,532,541,553,561,568,578,585,586,588,587,588,584,575,559,543,520,502,481,452,415,380,351,332,312,292,265,238,207,173,142,112,85,74,47,27,22,11,7,5,4",1,63.547427874979
,4640555,,2,194.76,129.15,43.2,2.465,125.4,8.34,547.32,126.89,803.53,1579.47,0,0,615.11,63.8,0.51,0.676,0.713,0,"38,31,66,150,234,325,378,398,425,436,462,494,508,517,523,525,530,538,554,563,569,569,571,577,578,594,602,614,615,609,601,576,558,535,509,476,450,416,386,360,335,316,291,268,240,214,186,163,126,96,78,63,43,15,24,19,2",2,129.15310378386
,4640555,,3,313.13,190.48,39.16,3.975,125.4,15.57,723.07,105.94,779.12,2358.58,0,0,567.52,57.2,0.46,0.573,0.959,0,"64,53,104,169,250,296,339,362,369,388,403,426,450,466,488,501,509,515,513,519,518,521,535,546,554,567,561,564,563,555,557,551,544,534,509,497,464,432,407,373,343,313,290,277,260,243,216,192,164,130,96,64,61,43,18,21,9",3,190.47770168707
,4640555,,4,371.71,235.79,35.61,5.657,127.6,24.21,863.91,97.52,770.06,3128.65,0,0,569.22,72.6,0.57,0.551,1.134,0,"77,36,79,120,182,220,261,298,316,343,360,373,384,400,415,432,454,468,475,493,490,503,506,500,518,516,526,543,543,557,560,563,569,568,561,550,532,506,482,450,416,389,350,328,298,271,251,216,187,163,123,98,80,55,51,26,1,23",4,235.78611674104
,4640555,,5,384.07,265.44,33.9,7.409,123.2,33.55,934.11,94.74,695.69,3824.34,0,0,535.1,66,0.54,0.525,1.245,0,"81,61,97,130,169,210,243,265,288,313,333,350,368,385,406,426,442,458,470,477,486,490,494,499,509,516,527,534,533,535,527,512,505,492,482,467,442,422,391,363,334,301,281,250,229,209,177,151,126,94,76,58,47,18,10,16",5,265.44314628479
,4640555,,6,363.14,281.73,31.19,9.332,123.2,43.58,1003.31,95.88,665.33,4489.67,0,0,521.52,66,0.54,0.534,1.39,0,"78,64,89,113,155,180,213,231,250,285,294,321,345,356,383,397,411,431,442,461,470,479,486,491,495,497,507,515,514,521,514,512,498,489,470,447,426,391,372,335,311,293,267,252,229,206,179,152,118,87,60,46,36,9,16,2",6,281.72659893229
,4640555,,7,356.51,292.41,31.91,11.201,123.2,53.26,967.91,97.12,684.65,5174.32,0,0,540.57,66,0.54,0.538,1.342,0,"77,54,85,106,147,179,205,223,254,277,294,321,335,357,386,407,424,444,455,464,473,478,485,495,505,516,526,532,535,540,534,536,526,518,507,485,466,436,408,382,349,318,280,258,228,198,179,148,121,94,66,46,32,15,5,2",7,292.40934925275
,4640555,,8,368.18,301.88,33.98,12.958,125.4,62.43,916.68,96.33,706.34,5880.66,0,0,540.11,70.4,0.56,0.54,1.226,0,"78,52,89,136,158,187,212,233,252,274,296,317,341,356,378,400,412,434,438,454,460,466,478,480,489,505,521,517,531,533,529,540,535,534,525,510,497,470,452,416,386,358,326,296,270,246,219,180,156,120,99,70,46,28,0,3,10",8,301.88077282694
,4640555,,9,361.96,308.56,32.84,14.766,121,71.93,950.41,96.12,647.29,6527.95,0,0,528.56,68.2,0.56,0.524,1.303,0,"79,70,87,118,149,171,198,216,238,253,270,295,318,345,372,395,415,430,440,451,450,461,468,480,489,499,512,517,527,523,528,521,500,497,472,452,435,400,374,340,312,287,251,232,195,172,148,117,86,62,52,25,11,18,4",9,308.55588305335
,4640555,,10,363.05,314.01,33.71,16.544,121,81.14,920.69,96.67,669.34,7197.28,0,0,533.82,66,0.55,0.524,1.256,0,"78,61,89,127,160,195,233,251,280,295,311,326,340,360,376,399,419,429,445,456,465,472,478,490,500,511,521,523,531,533,532,525,526,509,490,480,447,425,396,356,325,293,253,227,200,173,139,115,91,66,63,28,5,11,8",10,314.00573222701
